index,threshold,value,highlight_ratio
f1,0.07302340120077101,0.18828451882845187,preds_labels_10_perc
accuracy,0.999966144561767,0.9072631578947369,preds_labels_10_perc
precision,0.991767644882202,0.2484076433121019,preds_labels_10_perc
recall,3.3580313640868547e-08,1.0,preds_labels_10_perc
kappa,0.6668184995651241,0.09010144199117964,preds_labels_10_perc
roc_auc,,0.5707367907614427,preds_labels_10_perc
average_precision,,0.12945926589182596,preds_labels_10_perc
accuracy_top5,0.836633265018463,0.2631578947368421,preds_labels_10_perc
f1_top5,0.836633265018463,0.4166666666666667,preds_labels_10_perc
kappa_top5,0.836633265018463,0.0,preds_labels_10_perc
precision_top5,0.836633265018463,0.2631578947368421,preds_labels_10_perc
recall_top5,0.836633265018463,1.0,preds_labels_10_perc
roc_auc_top5,,0.4828571428571428,preds_labels_10_perc
average_precision_top5,,0.24390015801688852,preds_labels_10_perc
f1,0.0007974492618810001,0.26160612477602213,preds_labels_15_perc
accuracy,0.9999176263809201,0.8603157894736843,preds_labels_15_perc
precision,0.9999983310699461,1.0,preds_labels_15_perc
recall,1.4646771262505348e-07,1.0,preds_labels_15_perc
kappa,0.051471956074237005,0.07965713962946219,preds_labels_15_perc
roc_auc,,0.5707977563247163,preds_labels_15_perc
average_precision,,0.1906766786476563,preds_labels_15_perc
accuracy_top5,0.9038950800895691,0.4,preds_labels_15_perc
f1_top5,0.9038950800895691,0.5714285714285714,preds_labels_15_perc
kappa_top5,0.9038950800895691,0.0,preds_labels_15_perc
precision_top5,0.9038950800895691,0.4,preds_labels_15_perc
recall_top5,0.9038950800895691,1.0,preds_labels_15_perc
roc_auc_top5,,0.5997229916897507,preds_labels_15_perc
average_precision_top5,,0.519450492005726,preds_labels_15_perc
f1,0.010806937702,0.1452513966480447,preds_labels_1_5_std
accuracy,0.9677684307098381,0.9465263157894737,preds_labels_1_5_std
precision,0.9677684307098381,1.0,preds_labels_1_5_std
recall,6.3254051383410115e-06,1.0,preds_labels_1_5_std
kappa,0.030045745894312,0.06884187635770156,preds_labels_1_5_std
roc_auc,,0.6221186939736962,preds_labels_1_5_std
average_precision,,0.08836476358077185,preds_labels_1_5_std
accuracy_top5,0.09333600848913101,0.15789473684210525,preds_labels_1_5_std
f1_top5,0.09333600848913101,0.2727272727272727,preds_labels_1_5_std
kappa_top5,0.09333600848913101,0.0,preds_labels_1_5_std
precision_top5,0.09333600848913101,0.15789473684210525,preds_labels_1_5_std
recall_top5,0.09333600848913101,1.0,preds_labels_1_5_std
roc_auc_top5,,0.6875,preds_labels_1_5_std
average_precision_top5,,0.35118004157803906,preds_labels_1_5_std
f1,0.025546444579958003,0.20205686630369027,preds_labels_1_std
accuracy,0.9922928810119621,0.8993684210526316,preds_labels_1_std
precision,0.9835869669914241,0.2,preds_labels_1_std
recall,1.930179132614284e-05,1.0,preds_labels_1_std
kappa,0.08014822006225501,0.05929805650108344,preds_labels_1_std
roc_auc,,0.5723019186995855,preds_labels_1_std
average_precision,,0.1256903366515066,preds_labels_1_std
accuracy_top5,0.525016188621521,0.2,preds_labels_1_std
f1_top5,0.525016188621521,0.3333333333333333,preds_labels_1_std
kappa_top5,0.525016188621521,0.0,preds_labels_1_std
precision_top5,0.525016188621521,0.2,preds_labels_1_std
recall_top5,0.525016188621521,1.0,preds_labels_1_std
roc_auc_top5,,0.4231301939058172,preds_labels_1_std
average_precision_top5,,0.18402804096965183,preds_labels_1_std
f1,8.189845175365917e-06,0.3225320271288621,preds_labels_20_perc
accuracy,0.9999984502792351,0.8101052631578948,preds_labels_20_perc
precision,0.9999984502792351,0.6666666666666666,preds_labels_20_perc
