index,threshold,value,highlight_ratio
f1,0.13279753923416102,0.2096505823627288,preds_labels_comedy_10_perc
accuracy,0.64635556936264,0.9064444444444445,preds_labels_comedy_10_perc
precision,0.171219304203987,0.1793478260869565,preds_labels_comedy_10_perc
recall,0.002414357615634,1.0,preds_labels_comedy_10_perc
kappa,0.13279753923416102,0.10040150501249967,preds_labels_comedy_10_perc
roc_auc,,0.5829079131652661,preds_labels_comedy_10_perc
average_precision,,0.12692258838169207,preds_labels_comedy_10_perc
accuracy_top5,0.21691340208053503,0.3111111111111111,preds_labels_comedy_10_perc
f1_top5,0.21691340208053503,0.4745762711864407,preds_labels_comedy_10_perc
kappa_top5,0.21691340208053503,0.0,preds_labels_comedy_10_perc
precision_top5,0.21691340208053503,0.3111111111111111,preds_labels_comedy_10_perc
recall_top5,0.21691340208053503,1.0,preds_labels_comedy_10_perc
roc_auc_top5,,0.23271889400921664,preds_labels_comedy_10_perc
average_precision_top5,,0.2196058585627219,preds_labels_comedy_10_perc
f1,0.146241515874862,0.2857142857142857,preds_labels_comedy_15_perc
accuracy,0.27641189098358104,0.8593333333333333,preds_labels_comedy_15_perc
precision,0.300742238759994,0.75,preds_labels_comedy_15_perc
recall,0.057124357670545,1.0,preds_labels_comedy_15_perc
kappa,0.172281920909881,0.1360199017983711,preds_labels_comedy_15_perc
roc_auc,,0.6053353841765898,preds_labels_comedy_15_perc
average_precision,,0.20929935760817803,preds_labels_comedy_15_perc
accuracy_top5,0.21387480199337003,0.37777777777777777,preds_labels_comedy_15_perc
f1_top5,0.21387480199337003,0.5483870967741935,preds_labels_comedy_15_perc
kappa_top5,0.21387480199337003,0.0,preds_labels_comedy_15_perc
precision_top5,0.21387480199337003,0.37777777777777777,preds_labels_comedy_15_perc
recall_top5,0.21387480199337003,1.0,preds_labels_comedy_15_perc
roc_auc_top5,,0.49789915966386555,preds_labels_comedy_15_perc
average_precision_top5,,0.4606966745098764,preds_labels_comedy_15_perc
f1,0.175980925559997,0.3241167434715822,preds_labels_comedy_20_perc
accuracy,0.9408681988716121,0.8104444444444444,preds_labels_comedy_20_perc
precision,0.9408681988716121,1.0,preds_labels_comedy_20_perc
recall,0.0028742235153910002,1.0,preds_labels_comedy_20_perc
kappa,0.259491771459579,0.1351428367884876,preds_labels_comedy_20_perc
roc_auc,,0.5752037157365293,preds_labels_comedy_20_perc
average_precision,,0.25200736399266777,preds_labels_comedy_20_perc
accuracy_top5,0.541630208492279,0.35555555555555557,preds_labels_comedy_20_perc
f1_top5,0.541630208492279,0.5245901639344263,preds_labels_comedy_20_perc
kappa_top5,0.541630208492279,0.0,preds_labels_comedy_20_perc
