index,threshold,value,highlight_ratio
f1,0.07302340120077101,0.18828451882845187,preds_labels_10_perc
accuracy,0.999966144561767,0.9072631578947369,preds_labels_10_perc
precision,0.991767644882202,0.2484076433121019,preds_labels_10_perc
recall,3.3580313640868547e-08,1.0,preds_labels_10_perc
kappa,0.6668184995651241,0.09010144199117964,preds_labels_10_perc
roc_auc,,0.5707367907614427,preds_labels_10_perc
average_precision,,0.12945926589182596,preds_labels_10_perc
f1,0.0007974492618810001,0.26160612477602213,preds_labels_15_perc
accuracy,0.9999176263809201,0.8603157894736843,preds_labels_15_perc
precision,0.9999983310699461,1.0,preds_labels_15_perc
recall,1.4646771262505348e-07,1.0,preds_labels_15_perc
kappa,0.051471956074237005,0.07965713962946219,preds_labels_15_perc
roc_auc,,0.5707977563247163,preds_labels_15_perc
average_precision,,0.1906766786476563,preds_labels_15_perc
f1,8.189845175365917e-06,0.3225320271288621,preds_labels_20_perc
accuracy,0.9999984502792351,0.8101052631578948,preds_labels_20_perc
precision,0.9999984502792351,0.6666666666666666,preds_labels_20_perc
recall,1.980814232638295e-07,1.0,preds_labels_20_perc
kappa,0.032986085861921005,0.04551871914770056,preds_labels_20_perc
roc_auc,,0.5410668869773696,preds_labels_20_perc
average_precision,,0.21343049770464992,preds_labels_20_perc
f1,4.91738603614067e-07,0.38750850918992513,preds_labels_25_perc
accuracy,0.999998807907104,0.7602105263157894,preds_labels_25_perc
precision,0.999998807907104,1.0,preds_labels_25_perc
recall,1.560178901627296e-07,1.0,preds_labels_25_perc
kappa,0.9821950793266291,0.012608398820504685,preds_labels_25_perc
roc_auc,,0.5014220063663314,preds_labels_25_perc
average_precision,,0.24196914394761518,preds_labels_25_perc
f1,1.460426624078081e-08,0.45161827107080454,preds_labels_30_perc
accuracy,0.9999998807907101,0.7090526315789474,preds_labels_30_perc
precision,0.9999976158142091,0.461038961038961,preds_labels_30_perc
recall,5.898932453618501e-10,1.0,preds_labels_30_perc
kappa,0.9746440052986141,0.06761053673897388,preds_labels_30_perc
roc_auc,,0.5254706921440766,preds_labels_30_perc
average_precision,,0.3228029813507582,preds_labels_30_perc
f1,0.08221904188394501,0.16982214572576018,preds_labels_3_perc_1k_epochs
accuracy,0.9999535083770751,0.9390526315789474,preds_labels_3_perc_1k_epochs
precision,0.9999952316284181,1.0,preds_labels_3_perc_1k_epochs
recall,4.052827762279776e-07,1.0,preds_labels_3_perc_1k_epochs
kappa,0.9419540762901301,0.1317956100480403,preds_labels_3_perc_1k_epochs
roc_auc,,0.5902809640662747,preds_labels_3_perc_1k_epochs
average_precision,,0.14008871712298443,preds_labels_3_perc_1k_epochs
f1,0.07050983607769,0.12516715699384862,preds_labels_3_perc_20_epochs
accuracy,0.07578493654727901,0.9377894736842105,preds_labels_3_perc_20_epochs
precision,0.07131309807300501,0.0800596718050721,preds_labels_3_perc_20_epochs
recall,0.066017135977745,1.0,preds_labels_3_perc_20_epochs
kappa,0.07131309807300501,0.030712931110128183,preds_labels_3_perc_20_epochs
roc_auc,,0.5190192889345432,preds_labels_3_perc_20_epochs
average_precision,,0.06721173016412559,preds_labels_3_perc_20_epochs
